language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,value,rel_dev,guarded
matlab,ip,10,1200,relative periodic,1,1,3,6,0,centres,auto,inf,0.00138325609,178,0.101176883213479,NaN,0
matlab,ip,10,1200,relative periodic,1,1,3,6,0,mobius,auto,inf,0.00769585208,20,0.101176883213479,7.910e-16,0
matlab,ip,10,1200,relative periodic,1,1,3,9,0,bulger,auto,inf,0.00207470951,142,0.400868514143222,0.000e+00,0
matlab,ip,10,1200,relative periodic,1,1,3,9,0,centres,auto,inf,0.00663792029,23,0.400868514143222,NaN,0
matlab,ip,10,1200,relative periodic,1,1,3,9,0,mobius,auto,inf,0.00778698333,20,0.400868514143225,2.720e-15,0
matlab,ip,10,1200,relative periodic,1,1,3,14,0,bulger,auto,inf,0.0168635292,10,0.586735581306167,0.000e+00,0
matlab,ip,10,1200,relative periodic,1,1,3,14,0,centres,auto,inf,0.0947992083,2,0.586735581306167,NaN,0
matlab,ip,10,1200,relative periodic,1,1,3,14,0,mobius,auto,inf,0.00761961667,20,0.586735581306165,2.109e-15,0
matlab,ip,10,1200,relative periodic,1,1,3,21,0,bulger,auto,inf,0.201861979,1,0.816530746846473,1.110e-16,0
matlab,ip,10,1200,relative periodic,1,1,3,21,0,centres,auto,inf,1.20334679,1,0.816530746846473,NaN,0
matlab,ip,10,1200,relative periodic,1,1,3,21,0,mobius,auto,inf,0.00814933681,36,0.816530746846483,9.215e-15,0
matlab,ip,10,1200,relative periodic,1,1,3,32,0,bulger,auto,inf,2.78475308,1,0.924927192565863,NaN,0
matlab,ip,10,1200,relative periodic,1,1,3,32,0,mobius,auto,inf,0.00829414338,34,0.924927192565869,NaN,0
matlab,ip,10,1200,relative periodic,1,1,3,48,0,mobius,auto,inf,0.00835240625,36,0.964786143211476,NaN,0
matlab,ip,10,1200,relative periodic,1,1,4,6,0,bulger,auto,inf,0.00123961275,119,2.30259377045004e-08,1.498e-17,0
matlab,ip,10,1200,relative periodic,1,1,4,6,0,centres,auto,inf,0.00596870353,26,2.30259377194835e-08,NaN,0
