CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
4,16,2,0.0125,0,45499293,nan,nan,nan
4,16,2,0.0500,0,1953125,98.2447,47.7617,0.4862
4,16,2,0.2000,0,300763,14.4075,23.7305,1.6471
4,16,4,0.0020,0,7797729087,nan,nan,nan
4,16,4,0.0050,0,553387661,nan,nan,nan
4,16,4,0.0125,0,45499293,nan,nan,nan
4,16,4,0.0500,0,1953125,162.3367,173.0114,1.0658
4,16,4,0.2000,0,300763,26.9022,88.9037,3.3047
4,16,8,0.0020,0,7797729087,nan,nan,nan
4,16,8,0.0050,0,553387661,nan,nan,nan
4,16,8,0.0125,0,45499293,nan,nan,nan
4,16,8,0.0500,0,1953125,272.4835,709.8986,2.6053
4,16,8,0.2000,0,300763,41.2698,335.2425,8.1232
4,16,16,0.0020,0,7797729087,nan,nan,nan
4,16,16,0.0050,0,553387661,nan,nan,nan
4,16,16,0.0125,0,45499293,nan,nan,nan
4,16,16,0.0500,0,1953125,640.5893,2541.4216,3.9673
4,16,16,0.2000,0,300763,63.6060,1260.9477,19.8244
4,30,1,0.0020,0,7797729087,nan,nan,nan
4,30,1,0.0050,0,553387661,nan,nan,nan
4,30,1,0.0125,0,45499293,nan,nan,nan
4,30,1,0.0500,0,1953125,56.2537,19.9693,0.3550
4,30,1,0.2000,0,300763,10.3240,15.5075,1.5021
4,30,2,0.0020,0,7797729087,nan,nan,nan
4,30,2,0.0050,0,553387661,nan,nan,nan
4,30,2,0.0125,0,45499293,nan,nan,nan
4,30,2,0.0500,0,1953125,88.5084,111.6652,1.2616
4,30,2,0.2000,0,300763,14.5128,58.5910,4.0372
4,30,4,0.0020,0,7797729087,nan,nan,nan
4,30,4,0.0050,0,553387661,nan,nan,nan
4,30,4,0.0125,0,45499293,nan,nan,nan
4,30,4,0.0500,0,1953125,138.3760,447.1119,3.2311
4,30,4,0.2000,0,300763,22.5267,211.1739,9.3744
4,30,8,0.0020,0,7797729087,nan,nan,nan
4,30,8,0.0050,0,553387661,nan,nan,nan
4,30,8,0.0125,0,45499293,nan,nan,nan
4,30,8,0.0500,0,1953125,321.7190,1879.5484,5.8422
4,30,8,0.2000,0,300763,37.4866,907.1088,24.1982
4,30,16,0.0020,0,7797729087,nan,nan,nan
4,30,16,0.0050,0,553387661,nan,nan,nan
4,30,16,0.0125,0,45499293,nan,nan,nan
4,30,16,0.0500,0,1953125,645.4301,7422.9620,11.5008
4,30,16,0.2000,0,300763,69.2035,3745.2189,54.1189
CSV_END
