language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,absolute periodic,False,True,4,14,,centres,forced-by-method,inf,61.660457457997836,1,True,0.0001573500134200553,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,14,,bulger,forced-by-method,inf,2.2273936250130646,1,False,0.00015735001342005538,8.131516293641283e-20
python,ip,10.0,1200.0,absolute periodic,False,True,4,14,,mobius,forced-by-method,inf,0.004851834071035098,56,False,0.00015735001342005454,7.589415207398531e-19
python,ip,10.0,1200.0,absolute periodic,False,True,4,21,,bulger,forced-by-method,inf,91.63113933400018,1,True,0.0036024429979136055,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,21,,mobius,forced-by-method,inf,0.004900006696906141,56,False,0.003602442997913598,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,32,,mobius,forced-by-method,inf,0.00561070052087113,48,False,0.030401357835536078,nan
python,ip,10.0,1200.0,absolute periodic,False,True,4,48,,mobius,forced-by-method,inf,0.0061025373336936655,48,False,0.23325105779825886,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,6,,centres,forced-by-method,inf,0.0003405088315523007,736,False,0.36873703037808847,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,6,,bulger,forced-by-method,inf,0.0003237463538507166,503,False,0.3687370303780886,1.1102230246251565e-16
python,ip,10.0,1200.0,relative non-periodic,True,False,2,6,,mobius,forced-by-method,inf,0.0008633903133355685,185,False,0.36873703037832917,2.4069635173873394e-13
python,ip,10.0,1200.0,relative non-periodic,True,False,2,9,,centres,forced-by-method,inf,0.0004216970688895431,566,False,0.3722160673311616,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,9,,bulger,forced-by-method,inf,0.0004081338958409712,384,False,0.3722160673311615,5.551115123125783e-17
python,ip,10.0,1200.0,relative non-periodic,True,False,2,9,,mobius,forced-by-method,inf,0.0014340852941934238,170,False,0.3722160673311721,1.049160758270773e-14
python,ip,10.0,1200.0,relative non-periodic,True,False,2,14,,centres,forced-by-method,inf,0.0010169138513119506,222,False,0.6697701077294622,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,14,,bulger,forced-by-method,inf,0.0008189833580761509,338,False,0.6697701077294622,0.0
python,ip,10.0,1200.0,relative non-periodic,True,False,2,14,,mobius,forced-by-method,inf,0.002210823412511557,126,False,0.6697701077294037,5.850875339774575e-14
python,ip,10.0,1200.0,relative non-periodic,True,False,2,21,,centres,forced-by-method,inf,0.003500290565793157,76,False,0.6901091751455655,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,21,,bulger,forced-by-method,inf,0.0032959583372440798,86,False,0.6901091751455655,0.0
python,ip,10.0,1200.0,relative non-periodic,True,False,2,21,,mobius,forced-by-method,inf,0.0028911108571004923,56,False,0.6901091751456178,5.229150445984487e-14
python,ip,10.0,1200.0,relative non-periodic,True,False,2,32,,centres,forced-by-method,inf,0.014212037497782149,20,False,0.899424560138648,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,32,,bulger,forced-by-method,inf,0.01354156249858947,22,False,0.8994245601386478,2.220446049250313e-16
python,ip,10.0,1200.0,relative non-periodic,True,False,2,32,,mobius,forced-by-method,inf,0.004365524565144323,39,False,0.8994245601386448,3.219646771412954e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,2,48,,centres,forced-by-method,inf,0.07026977074565366,4,False,0.9021073189131191,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,2,48,,bulger,forced-by-method,inf,0.06471220849198289,2,False,0.9021073189131192,1.1102230246251565e-16
python,ip,10.0,1200.0,relative non-periodic,True,False,2,48,,mobius,forced-by-method,inf,0.006302984143119483,42,False,0.9021073189131108,8.326672684688674e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,3,6,,centres,forced-by-method,inf,0.000804453500157771,224,False,0.0001425696966260286,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,3,6,,bulger,forced-by-method,inf,0.0006332764627389937,296,False,0.0001425696966260499,2.1304572689340162e-17
python,ip,10.0,1200.0,relative non-periodic,True,False,3,6,,mobius,forced-by-method,inf,0.04219475000475844,6,False,0.00014256969662604946,2.087089182034596e-17
python,ip,10.0,1200.0,relative non-periodic,True,False,3,9,,centres,forced-by-method,inf,0.0033705924101806698,78,False,0.01378838124412806,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,3,9,,bulger,forced-by-method,inf,0.002190430550865877,78,False,0.013788381244128085,2.42861286636753e-17
python,ip,10.0,1200.0,relative non-periodic,True,False,3,9,,mobius,forced-by-method,inf,0.10908118751831353,2,False,0.013788381244129485,1.4242079737769586e-15
python,ip,10.0,1200.0,relative non-periodic,True,False,3,14,,centres,forced-by-method,inf,0.01805021612381097,16,False,0.21274755465003345,nan
python,ip,10.0,1200.0,relative non-periodic,True,False,3,14,,bulger,forced-by-method,inf,0.008219298612352254,18,False,0.2127475546500334,5.551115123125783e-17
python,ip,10.0,1200.0,relative non-periodic,True,False,3,14,,mobius,forced-by-method,inf,0.19273804099066183,1,False,0.21274755465002995,3.497202527569243e-15
