# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,6,64,asym,bimodal,1,25,1,400,20,30,47.3058,66.1757,5.4037,142.6773,316.2960,0.000e+00,centres,mobius,,,
2,16,16,1,equal,flat,0,3,1,2129,240,240,0.8793,1.2058,2.4911,2.8800,11.9120,1.058e-13,centres,bulger,,,
2,16,16,1,equal,flat,1,3,1,3332,240,240,0.7986,1.5600,1.7795,3.1680,11.9120,1.843e-14,grid,bulger,,,
2,16,16,1,equal,flat,0,25,1,305,240,240,3.3290,1.2553,0.5110,2.8800,11.9120,2.776e-15,grid,mobius,,,
2,16,16,1,equal,flat,1,25,1,400,240,240,0.7391,1.6323,0.3461,3.1680,11.9120,1.554e-15,grid,mobius,,,
2,16,16,4,equal,flat,0,3,1,2361,240,240,8.9830,21.4025,8.9458,46.0800,115.5920,5.540e-14,centres,mobius,,,
2,16,16,4,equal,flat,1,3,1,3332,240,240,11.2350,26.2593,5.2638,50.6880,115.5920,4.441e-16,grid,mobius,,,
2,16,16,4,equal,flat,0,25,1,329,240,240,39.7347,21.4040,1.7167,46.0800,115.5920,4.441e-16,grid,mobius,,,
2,16,16,4,equal,flat,1,25,1,400,240,240,15.7112,31.2359,0.8835,50.6880,115.5920,2.220e-16,grid,mobius,,,
2,16,16,16,equal,flat,0,3,1,2429,240,240,136.6790,334.7269,33.4969,737.2800,1774.4720,1.110e-15,centres,mobius,,,
2,16,16,16,equal,flat,1,3,1,3332,240,240,221.4504,438.8170,19.7021,811.0080,1774.4720,3.331e-16,grid,mobius,,,
2,16,16,16,equal,flat,0,25,1,335,240,240,714.6082,334.9622,6.6936,737.2800,1774.4720,2.220e-16,grid,mobius,,,
2,16,16,16,equal,flat,1,25,1,400,240,240,256.4656,401.6518,2.9024,811.0080,1774.4720,2.220e-16,grid,mobius,,,
2,16,16,64,equal,flat,0,3,1,2440,240,240,inf,inf,129.5860,11796.4800,28316.5520,nan,centres,mobius,rate,rate,
2,16,16,64,equal,flat,1,3,1,3332,240,240,inf,inf,75.7602,12976.1280,28316.5520,nan,grid,mobius,rate,rate,
2,16,16,64,equal,flat,0,25,1,336,240,240,inf,inf,25.0115,11796.4800,28316.5520,nan,grid,mobius,rate,rate,
2,16,16,64,equal,flat,1,25,1,400,240,240,inf,inf,11.8320,12976.1280,28316.5520,nan,grid,mobius,rate,rate,
2,16,16,1,equal,decay,0,3,1,2151,240,240,1.0166,1.3625,2.5290,2.8800,11.9120,7.661e-15,centres,bulger,,,
2,16,16,1,equal,decay,1,3,1,3332,240,240,0.7806,1.5529,1.7430,3.1680,11.9120,9.048e-15,grid,bulger,,,
2,16,16,1,equal,decay,0,25,1,313,240,240,3.2721,1.4296,0.6650,2.8800,11.9120,7.105e-15,grid,mobius,,,
2,16,16,1,equal,decay,1,25,1,400,240,240,0.9692,1.5475,0.3503,3.1680,11.9120,1.144e-14,grid,mobius,,,
2,16,16,4,equal,decay,0,3,1,2323,240,240,9.2811,21.0622,9.0234,46.0800,115.5920,1.221e-15,centres,mobius,,,
2,16,16,4,equal,decay,1,3,1,3332,240,240,12.0405,30.1120,5.0860,50.6880,115.5920,1.221e-15,grid,mobius,,,
2,16,16,4,equal,decay,0,25,1,334,240,240,41.9617,20.8515,1.7138,46.0800,115.5920,1.110e-16,grid,mobius,,,
2,16,16,4,equal,decay,1,25,1,400,240,240,15.6861,25.7193,0.8770,50.6880,115.5920,3.331e-16,grid,mobius,,,
2,16,16,16,equal,decay,0,3,1,2407,240,240,124.2746,324.2763,32.8570,737.2800,1774.4720,2.998e-15,centres,mobius,,,
2,16,16,16,equal,decay,1,3,1,3332,240,240,203.6729,435.0953,18.7351,811.0080,1774.4720,1.110e-16,grid,mobius,,,
2,16,16,16,equal,decay,0,25,1,335,240,240,705.4791,322.6441,6.4527,737.2800,1774.4720,1.110e-16,grid,mobius,,,
2,16,16,16,equal,decay,1,25,1,400,240,240,256.7133,401.9802,2.9713,811.0080,1774.4720,1.110e-16,grid,mobius,,,
