# calibrateRelIpCost
# generated 2026-08-01 15:51:46
# matlab 26.1.0.3251617 (R2026a) Update 2 on MACA64
# truncationSigmas 6, period 1200
# budgetSec 5, seeds 1
# times in milliseconds. Inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. NaN
# means the arm is inadmissible in that mode, or errored. A declined_ column
# reads - when the arm was measured normally.
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,6,1,asym,bimodal,0,3,1,1610,20,30,0.2294,0.2342,0.8845,0.0317,5.0760,6.272e-14,centres,bulger,-,-,-
2,5,6,1,asym,bimodal,1,3,1,3332,20,30,0.2159,0.2425,0.8024,0.0348,5.0760,6.832e-14,centres,bulger,-,-,-
2,5,6,1,asym,bimodal,0,25,1,228,20,30,0.2091,0.2403,0.3859,0.0317,5.0760,1.588e-12,centres,bulger,-,-,-
2,5,6,1,asym,bimodal,1,25,1,400,20,30,0.2125,0.2300,0.3255,0.0348,5.0760,1.909e-12,centres,bulger,-,-,-
2,5,6,4,asym,bimodal,0,3,1,2195,20,30,0.4176,0.5158,2.4805,0.5067,6.2160,6.928e-14,grid,bulger,-,-,-
2,5,6,4,asym,bimodal,1,3,1,3332,20,30,0.5469,0.5679,1.8568,0.5573,6.2160,1.098e-13,grid,bulger,-,-,-
2,5,6,4,asym,bimodal,0,25,1,304,20,30,0.4728,0.5290,0.9701,0.5067,6.2160,9.981e-14,grid,bulger,-,-,-
2,5,6,4,asym,bimodal,1,25,1,400,20,30,0.6593,0.6214,0.6597,0.5573,6.2160,1.382e-13,grid,mobius,-,-,-
2,5,6,16,asym,bimodal,0,3,1,2395,20,30,2.1285,1.4707,8.2256,8.1067,24.4560,3.653e-14,grid,mobius,-,-,-
2,5,6,16,asym,bimodal,1,3,1,3332,20,30,2.3555,1.6429,6.1010,8.9173,24.4560,5.218e-15,grid,mobius,-,-,-
2,5,6,16,asym,bimodal,0,25,1,329,20,30,2.3357,1.6364,3.2690,8.1067,24.4560,1.332e-15,grid,mobius,-,-,-
2,5,6,16,asym,bimodal,1,25,1,400,20,30,2.6634,1.6643,2.0586,8.9173,24.4560,1.554e-15,grid,mobius,-,-,-
2,5,6,64,asym,bimodal,0,3,1,2436,20,30,14.7768,11.4491,31.1226,129.7067,316.2960,4.530e-14,grid,mobius,-,-,-
2,5,6,64,asym,bimodal,1,3,1,3332,20,30,18.2615,13.0486,23.6364,142.6773,316.2960,4.441e-16,grid,mobius,-,-,-
2,5,6,64,asym,bimodal,0,25,1,335,20,30,18.8329,13.4938,12.6452,129.7067,316.2960,6.661e-16,grid,mobius,-,-,-
2,5,6,64,asym,bimodal,1,25,1,400,20,30,24.5351,13.6410,7.3712,142.6773,316.2960,4.441e-16,grid,mobius,-,-,-
2,16,16,1,equal,flat,0,3,1,2052,240,240,1.5551,1.1212,1.0859,2.8800,11.9120,6.994e-14,centres,mobius,-,-,-
2,16,16,1,equal,flat,1,3,1,3332,240,240,1.5408,1.1639,0.9816,3.1680,11.9120,6.883e-15,grid,mobius,-,-,-
2,16,16,1,equal,flat,0,25,1,313,240,240,1.7167,0.9109,0.6780,2.8800,11.9120,1.266e-14,grid,mobius,-,-,-
2,16,16,1,equal,flat,1,25,1,400,240,240,1.7069,1.0011,0.5481,3.1680,11.9120,5.107e-15,grid,mobius,-,-,-
2,16,16,4,equal,flat,0,3,1,2427,240,240,5.6180,4.0272,3.0045,46.0800,115.5920,2.998e-14,grid,mobius,-,-,-
2,16,16,4,equal,flat,1,3,1,3332,240,240,7.0834,4.4504,2.1238,50.6880,115.5920,4.441e-16,grid,mobius,-,-,-
2,16,16,4,equal,flat,0,25,1,326,240,240,6.7344,4.6754,1.3471,46.0800,115.5920,4.441e-16,grid,mobius,-,-,-
2,16,16,4,equal,flat,1,25,1,400,240,240,8.5623,4.8629,1.2785,50.6880,115.5920,2.220e-16,grid,mobius,-,-,-
2,16,16,16,equal,flat,0,3,1,2438,240,240,76.3311,52.6193,10.9286,737.2800,1774.4720,1.443e-15,grid,mobius,-,-,-
2,16,16,16,equal,flat,1,3,1,3332,240,240,90.0190,57.6865,7.5548,811.0080,1774.4720,5.551e-16,grid,mobius,-,-,-
2,16,16,16,equal,flat,0,25,1,334,240,240,95.0577,63.0740,4.0083,737.2800,1774.4720,4.441e-16,grid,mobius,-,-,-
2,16,16,16,equal,flat,1,25,1,400,240,240,122.4832,65.7072,4.4572,811.0080,1774.4720,3.331e-16,grid,mobius,-,-,-
2,16,16,64,equal,flat,0,3,1,2437,240,240,1814.2072,1109.7285,42.5216,11796.4800,28316.5520,3.109e-15,grid,mobius,-,-,-
2,16,16,64,equal,flat,1,3,1,3332,240,240,1611.0095,1138.5120,29.3128,12976.1280,28316.5520,6.661e-16,grid,mobius,-,-,-
2,16,16,64,equal,flat,0,25,1,336,240,240,1618.5474,1157.5928,18.0037,11796.4800,28316.5520,1.110e-15,grid,mobius,-,-,-
2,16,16,64,equal,flat,1,25,1,400,240,240,1889.8347,1204.7618,16.1197,12976.1280,28316.5520,1.221e-15,grid,mobius,-,-,-
2,16,16,1,equal,decay,0,3,1,2052,240,240,1.5663,0.7890,0.9333,2.8800,11.9120,5.940e-15,centres,mobius,-,-,-
2,16,16,1,equal,decay,1,3,1,3332,240,240,1.4638,0.9300,0.7392,3.1680,11.9120,3.997e-15,grid,mobius,-,-,-
2,16,16,1,equal,decay,0,25,1,313,240,240,1.6545,0.9078,0.6648,2.8800,11.9120,1.388e-14,grid,mobius,-,-,-
2,16,16,1,equal,decay,1,25,1,400,240,240,1.6033,0.9929,0.5825,3.1680,11.9120,5.329e-15,grid,mobius,-,-,-
2,16,16,4,equal,decay,0,3,1,2427,240,240,6.1866,4.2153,3.4329,46.0800,115.5920,8.216e-15,grid,mobius,-,-,-
2,16,16,4,equal,decay,1,3,1,3332,240,240,7.2827,4.5715,2.1528,50.6880,115.5920,7.772e-16,grid,mobius,-,-,-
2,16,16,4,equal,decay,0,25,1,326,240,240,7.1157,4.8064,1.5126,46.0800,115.5920,4.441e-16,grid,mobius,-,-,-
2,16,16,4,equal,decay,1,25,1,400,240,240,8.8321,4.8166,1.3688,50.6880,115.5920,3.331e-16,grid,mobius,-,-,-
2,16,16,16,equal,decay,0,3,1,2438,240,240,76.3178,52.9771,10.8343,737.2800,1774.4720,1.110e-14,grid,mobius,-,-,-
2,16,16,16,equal,decay,1,3,1,3332,240,240,90.2357,60.4112,7.7494,811.0080,1774.4720,0.000e+00,grid,mobius,-,-,-
2,16,16,16,equal,decay,0,25,1,334,240,240,95.5267,66.6534,5.3982,737.2800,1774.4720,5.551e-16,grid,mobius,-,-,-
2,16,16,16,equal,decay,1,25,1,400,240,240,120.1701,66.5944,4.2106,811.0080,1774.4720,3.331e-16,grid,mobius,-,-,-
2,16,16,64,equal,decay,0,3,1,2437,240,240,1199.3190,1012.1123,41.5479,11796.4800,28316.5520,1.887e-15,grid,mobius,-,-,-
2,16,16,64,equal,decay,1,3,1,3332,240,240,1449.5156,1085.8378,28.9738,12976.1280,28316.5520,3.331e-16,grid,mobius,-,-,-
2,16,16,64,equal,decay,0,25,1,336,240,240,1517.3429,1174.0288,18.2445,11796.4800,28316.5520,5.551e-16,grid,mobius,-,-,-
2,16,16,64,equal,decay,1,25,1,400,240,240,1910.2377,1198.3138,13.6844,12976.1280,28316.5520,1.110e-16,grid,mobius,-,-,-
2,16,16,1,equal,bimodal,0,3,1,2052,240,240,1.6248,0.7293,0.9849,2.8800,11.9120,1.736e-13,centres,mobius,-,-,-
2,16,16,1,equal,bimodal,1,3,1,3332,240,240,1.4030,0.8836,0.8231,3.1680,11.9120,1.177e-14,grid,mobius,-,-,-
2,16,16,1,equal,bimodal,0,25,1,313,240,240,1.7489,0.7873,0.5771,2.8800,11.9120,6.550e-15,grid,mobius,-,-,-
2,16,16,1,equal,bimodal,1,25,1,400,240,240,1.6355,0.9822,0.5221,3.1680,11.9120,1.110e-14,grid,mobius,-,-,-
2,16,16,4,equal,bimodal,0,3,1,2427,240,240,5.6210,4.1829,3.1048,46.0800,115.5920,9.770e-15,grid,mobius,-,-,-
2,16,16,4,equal,bimodal,1,3,1,3332,240,240,7.2288,4.5380,2.1578,50.6880,115.5920,1.776e-15,grid,mobius,-,-,-
2,16,16,4,equal,bimodal,0,25,1,326,240,240,7.1192,4.7975,1.5677,46.0800,115.5920,4.441e-16,grid,mobius,-,-,-
2,16,16,4,equal,bimodal,1,25,1,400,240,240,8.9104,5.0468,1.4496,50.6880,115.5920,4.441e-16,grid,mobius,-,-,-
2,16,16,16,equal,bimodal,0,3,1,2438,240,240,76.2991,52.4322,10.8938,737.2800,1774.4720,2.542e-14,grid,mobius,-,-,-
2,16,16,16,equal,bimodal,1,3,1,3332,240,240,90.4044,57.3579,7.4418,811.0080,1774.4720,1.110e-16,grid,mobius,-,-,-
2,16,16,16,equal,bimodal,0,25,1,334,240,240,94.6446,62.5236,4.6067,737.2800,1774.4720,2.220e-16,grid,mobius,-,-,-
2,16,16,16,equal,bimodal,1,25,1,400,240,240,117.8432,64.6438,4.2457,811.0080,1774.4720,3.331e-16,grid,mobius,-,-,-
2,16,16,64,equal,bimodal,0,3,1,2437,240,240,1229.0223,1018.0542,42.0907,11796.4800,28316.5520,9.104e-15,grid,mobius,-,-,-
2,16,16,64,equal,bimodal,1,3,1,3332,240,240,1511.7404,1072.3787,28.8709,12976.1280,28316.5520,6.661e-16,grid,mobius,-,-,-
2,16,16,64,equal,bimodal,0,25,1,336,240,240,1519.4825,1157.5662,17.3551,11796.4800,28316.5520,6.661e-16,grid,mobius,-,-,-
2,16,16,64,equal,bimodal,1,25,1,400,240,240,1911.5102,1199.6120,15.2165,12976.1280,28316.5520,0.000e+00,grid,mobius,-,-,-
2,5,16,1,asym,flat,0,3,1,1867,20,240,0.8126,0.5426,0.7803,1.0467,7.5120,3.022e-13,centres,mobius,-,-,-
2,5,16,1,asym,flat,1,3,1,3332,20,240,0.7394,0.6174,0.8046,1.1513,7.5120,2.646e-13,centres,mobius,-,-,-
2,5,16,1,asym,flat,0,25,1,214,20,240,0.8264,0.5184,0.5055,1.0467,5.4815,1.267e-12,grid,mobius,-,-,-
2,5,16,1,asym,flat,1,25,1,400,20,240,0.7755,0.5893,0.4963,1.1513,5.9000,1.166e-12,grid,mobius,-,-,-
2,5,16,4,asym,flat,0,3,1,2279,20,240,2.8734,1.9788,2.5833,16.7467,45.1920,7.727e-14,grid,mobius,-,-,-
2,5,16,4,asym,flat,1,3,1,3332,20,240,3.1042,2.3022,1.9866,18.4213,45.1920,1.815e-13,grid,mobius,-,-,-
2,5,16,4,asym,flat,0,25,1,325,20,240,3.2540,2.2402,1.3370,16.7467,16.7000,1.236e-13,grid,mobius,-,-,-
2,5,16,4,asym,flat,1,25,1,400,20,240,3.9616,2.2545,1.1782,18.4213,19.4000,1.855e-13,grid,mobius,-,-,-
2,5,16,16,asym,flat,0,3,1,2432,20,240,29.4917,20.5542,9.7518,267.9467,648.0720,3.064e-14,grid,mobius,-,-,-
2,5,16,16,asym,flat,1,3,1,3332,20,240,34.4885,22.2347,7.4250,294.7413,648.0720,8.105e-15,grid,mobius,-,-,-
2,5,16,16,asym,flat,0,25,1,331,20,240,36.0280,24.2106,4.3880,267.9467,195.6560,1.055e-14,grid,mobius,-,-,-
2,5,16,16,asym,flat,1,25,1,400,20,240,45.0384,25.4296,3.5700,294.7413,235.4000,1.188e-14,grid,mobius,-,-,-
2,5,16,64,asym,flat,0,3,1,2441,20,240,510.3568,370.3276,36.2500,4287.1467,10294.1520,4.330e-15,grid,mobius,-,-,-
2,5,16,64,asym,flat,1,3,1,3332,20,240,574.8484,400.7710,25.0030,4715.8613,10294.1520,8.882e-16,grid,mobius,-,-,-
2,5,16,64,asym,flat,0,25,1,335,20,240,595.8347,425.1400,15.1423,4287.1467,3092.3600,3.331e-16,grid,mobius,-,-,-
2,5,16,64,asym,flat,1,25,1,400,20,240,697.7368,437.5764,11.7921,4715.8613,3691.4000,5.551e-16,grid,mobius,-,-,-
2,5,16,1,asym,decay,0,3,1,1867,20,240,0.6849,0.6007,0.9996,1.0467,7.5120,6.609e-14,centres,mobius,-,-,-
2,5,16,1,asym,decay,1,3,1,3332,20,240,0.6726,0.5537,0.7158,1.1513,7.5120,3.220e-14,centres,mobius,-,-,-
2,5,16,1,asym,decay,0,25,1,214,20,240,0.8025,0.5620,0.4988,1.0467,5.4815,3.034e-13,grid,mobius,-,-,-
2,5,16,1,asym,decay,1,25,1,400,20,240,0.7929,0.5895,0.4928,1.1513,5.9000,2.258e-13,grid,mobius,-,-,-
2,5,16,4,asym,decay,0,3,1,2279,20,240,2.9683,2.1111,2.6680,16.7467,45.1920,1.932e-14,grid,mobius,-,-,-
2,5,16,4,asym,decay,1,3,1,3332,20,240,3.2591,2.2986,1.9103,18.4213,45.1920,1.471e-14,grid,mobius,-,-,-
2,5,16,4,asym,decay,0,25,1,325,20,240,3.3620,2.2916,1.2374,16.7467,16.7000,5.440e-14,grid,mobius,-,-,-
2,5,16,4,asym,decay,1,25,1,400,20,240,3.9411,2.4514,1.0919,18.4213,19.4000,7.661e-14,grid,mobius,-,-,-
2,5,16,16,asym,decay,0,3,1,2432,20,240,28.9438,20.2089,9.6106,267.9467,648.0720,1.499e-14,grid,mobius,-,-,-
2,5,16,16,asym,decay,1,3,1,3332,20,240,34.6831,22.3119,6.9293,294.7413,648.0720,3.553e-15,grid,mobius,-,-,-
2,5,16,16,asym,decay,0,25,1,331,20,240,35.8402,24.4597,4.2454,267.9467,195.6560,8.327e-15,grid,mobius,-,-,-
2,5,16,16,asym,decay,1,25,1,400,20,240,44.4545,25.0242,3.3612,294.7413,235.4000,1.088e-14,grid,mobius,-,-,-
2,5,16,64,asym,decay,0,3,1,2441,20,240,467.2463,369.4955,36.4004,4287.1467,10294.1520,1.033e-14,grid,mobius,-,-,-
